4 4 0 D.HEEED.H....AA.C..BBBC.GF..I.GF..I. F97 C99 A99 B98
4 4 0 D.HEEED.H.C..AA.C.GBBB..GF..I..F..I. F97 A99 B98 G99
4 4 0 D.HEEED.H.C.GAA.C.GBBB...F..I..F..I. F97 A99 B98 G98
4 4 0 D.HEEED.H.C..AA.C..BBBI.GF..I.GF.... F97 A99 B98 I99
4 4 0 D.HEEED.H....AA.C.BBB.C.GF..I.GF..I. F97 C99 A99 B97
4 4 0 D.HEEED.H.C..AA.C.BBB.I.GF..I.GF.... F97 A99 B97 I99
4 4 0 D.EEE.D.H.C.AAH.C....BBBGF..I.GF..I. H99 E99 F97 A98
4 4 0 DEEE..D.H.C.AAH.C....BBBGF..I.GF..I. H99 E98 F97 A98
4 4 0 D..EEED.H.C.AAH.C...BBB.GF..I.GF..I. H99 F97 A98 B99
4 4 0 D..EEED.H.C.AAH.C..BBB..GF..I.GF..I. H99 F97 A98 B98
4 4 0 D..EEED.H.C.AAH.C.BBB...GF..I.GF..I. H99 F97 A98 B97
4 4 0 D..EEED.H.C.AAH.C.G..BBBGF..I..F..I. H99 F97 A98 G99
4 4 0 D.EEE.D...C.AAH.C...HBBBGF..I.GF..I. H98 E99 F97 A98
4 4 0 DEEE..D...C.AAH.C...HBBBGF..I.GF..I. H98 E98 F97 A98
4 4 0 D..EEED...C.AAH.C.G.HBBBGF..I..F..I. H98 F97 A98 G99
4 4 0 D.EEE.D...C.AA..C...HBBBGFH.I.GF..I. H97 E99 F97 A98
4 4 0 DEEE..D...C.AA..C...HBBBGFH.I.GF..I. H97 E98 F97 A98
4 4 0 D..EEED...C..AA.C...HBBBGFH.I.GF..I. H97 F97 A97
4 4 0 D..EEED...C...AAC...HBBBGFH.I.GF..I. H97 F97 A96
4 4 0 D..EEED...C.AA..C.G.HBBBGFH.I..F..I. H97 F97 A98 G99
4 4 0 D.EEE.D...C.AA..C....BBBGFH.I.GFH.I. H96 E99 F97 A98
4 4 0 DEEE..D...C.AA..C....BBBGFH.I.GFH.I. H96 E98 F97 A98
4 4 0 D..EEED...C..AA.C....BBBGFH.I.GFH.I. H96 F97 A97
4 4 0 D..EEED...C...AAC....BBBGFH.I.GFH.I. H96 F97 A96
4 4 0 D..EEED...C.AA..C...BBB.GFH.I.GFH.I. H96 F97 A98 B99
4 4 0 D..EEED...C.AA..C..BBB..GFH.I.GFH.I. H96 F97 A98 B98
4 4 0 D..EEED...C.AA..C.BBB...GFH.I.GFH.I. H96 F97 A98 B97
4 4 0 D..EEED...C.AA..C.G..BBBGFH.I..FH.I. H96 F97 A98 G99
4 4 0 D.HEEED.H.C.AA..C.G.BBB.GF..I..F..I. F97 A98 B99 G99
4 4 0 D.HEEED.H...AA..C..BBBC.GF..I.GF..I. F97 C99 A98 B98
4 4 0 D.HEEED.H.C.AA..C.GBBB..GF..I..F..I. F97 A98 B98 G99
4 4 0 D.HEEED.H.C.AA..C..BBBI.GF..I.GF.... F97 A98 B98 I99
4 4 0 D.HEEED.H...AA..C.BBB.C.GF..I.GF..I. F97 C99 A98 B97
4 4 0 D.HEEED.H.C.AA..C.BBB.I.GF..I.GF.... F97 A98 B97 I99
4 4 0 D.HEEED.H.....AAC.GBBBC.GF..I..F..I. F97 C99 B98 G99
4 4 0 D.HEEED.H...G.AAC.GBBBC..F..I..F..I. F97 C99 B98 G98
4 4 0 D.HEEED.H.C...AAC.GBBBI.GF..I..F.... F97 B98 G99 I99
4 4 0 D.HEEED.H.C.G.AAC.GBBBI..F..I..F.... F97 B98 G98 I99
5 5 0 .FHEEEDFH.C.DAA.C.G.BBB.G...I.....I. D99 F99 A99 B99 G99
5 5 0 .FHEEEDFH...DAA.C..BBBC.G...I.G...I. D99 F99 C99 A99 B98
5 5 0 .FHEEEDFH.C.DAA.C.GBBB..G...I.....I. D99 F99 A99 B98 G99
5 5 0 .FHEEEDFH.C.DAA.C..BBBI.G...I.G..... D99 F99 A99 B98 I99
5 5 0 .FHEEEDFH...DAA.C.BBB.C.G...I.G...I. D99 F99 C99 A99 B97
5 5 0 .FHEEEDFH.C.DAA.C.BBB.I.G...I.G..... D99 F99 A99 B97 I99
5 5 0 .FHEEEDFH...D.AAC.GBBBC.G...I.....I. D99 F99 C99 B98 G99
5 5 0 .FHEEEDFH.C.D.AAC.GBBBI.G...I....... D99 F99 B98 G99 I99
5 5 0 ..HEEED.H.C.DAA.C.GFBBB.GF..I.....I. D99 F98 A99 B99 G99
5 5 0 ..HEEED.H.C.DAA.C.G.BBB.GF..I..F..I. D99 F97 A99 B99 G99
