4 4 0 EECGGGDDC.I.AA..I.H.FFF.H...BB...... E99 F98 C96
4 4 0 EECGGGDDC.I.AA..I.HFFF..H...BB...... E99 F97 C96
4 4 0 EECGGGDDC.I.AA..I.H..FFFH..BB....... E99 F99 C96 B99
4 4 0 EECGGGDDC.I.AA..I.H..FFFH.BB........ E99 F99 C96 B98
4 4 0 EECGGGDDC.I.AA..I.H..FFFHBB......... E99 F99 C96 B97
4 4 0 .EEGGG.DD.I.HAA.I.HFFF....C.BB..C... D99 A99 H99 F99
4 4 0 .EEGGG.DD.I.HAA.I.H..FFF..C.BB..C... D99 A99 H99 F99
4 4 0 .EEGGG.DD.I.HAA.I.H.FFF...CBB...C... D99 A99 H99 B99
4 4 0 .EEGGGHDD.I.HAA.I..FFF....C.BB..C... D99 A99 H98 F99
4 4 0 .EEGGGHDD.I.HAA.I.FFF.....C.BB..C... D99 A99 H98 F98
