4 4 0 .CCCGG.BBBF.AA..F....II.E.DDHHE..... C99 G99 F99 I99
4 4 0 .CCCGG.BBBF.AA..F.....IIE.DDHHE..... C99 G99 F99 I98
4 4 0 .CCCGG.BBBF.AA..F.E.II..E.DDHH...... C99 G99 F99 E99
4 4 0 .CCCGG.BBBF.AA..F...II..EDD.HHE..... C99 G99 F99 D99
4 4 0 .CCCGG.BBB..AA..F.EII.F.E.DDHH...... C99 G99 I99 E99
4 4 0 .CCCGG.BBB..AA..F..II.F.EDD.HHE..... C99 G99 I99 D99
4 4 0 .CCCGG.BBB..AA..F.II..F.EDD.HHE..... C99 G99 I98 D99
4 4 0 .CCCGG.BBB..AA..F.E.IIF.EDD.HH...... C99 G99 E99 D99
4 4 0 .CCCGG.BBB..AA..F...IIF.EDDHH.E..... C99 G99 D99 H99
4 4 0 CCC.GGBBB.F..AA.F...II..E.DDHHE..... G99 B99 A99 F99
4 4 0 CCC.GGBBB....AA.F..II.F.E.DDHHE..... G99 B99 A99 I99
4 4 0 CCC.GGBBB....AA.F.II..F.E.DDHHE..... G99 B99 A99 I98
4 4 0 CCC.GGBBB....AA.F.E.IIF.E.DDHH...... G99 B99 A99 E99
4 4 0 CCC.GGBBB...EAA.F.E.IIF...DDHH...... G99 B99 A99 E98
4 4 0 CCC.GGBBB....AA.F...IIF.EDD.HHE..... G99 B99 A99 D99
4 4 0 CCC.GGBBB.F...AAF...II..E.DDHHE..... G99 B99 A98 F99
4 4 0 CCC.GGBBB.....AAF..II.F.E.DDHHE..... G99 B99 A98 I99
4 4 0 CCC.GGBBB.....AAF.II..F.E.DDHHE..... G99 B99 A98 I98
4 4 0 CCC.GGBBB.....AAF.E.IIF.E.DDHH...... G99 B99 A98 E99
4 4 0 CCC.GGBBB...E.AAF.E.IIF...DDHH...... G99 B99 A98 E98
4 4 0 CCC.GGBBB.....AAF...IIF.EDD.HHE..... G99 B99 A98 D99
4 4 0 CCC.GGBBB.F.AA..F..II...E.DDHHE..... G99 B99 F99 I99
4 4 0 CCC.GGBBB.F.AA..F.II....E.DDHHE..... G99 B99 F99 I98
4 4 0 CCC.GGBBB.F.AA..F....II.E.DDHHE..... G99 B99 F99 I99
4 4 0 CCC.GGBBB.F.AA..F.....IIE.DDHHE..... G99 B99 F99 I98
4 4 0 CCC.GGBBB.F.AA..F.E.II..E.DDHH...... G99 B99 F99 E99
4 4 0 CCC.GGBBB.F.AA..F...II..EDD.HHE..... G99 B99 F99 D99
4 4 0 CCC.GGBBB...AA..F.EII.F.E.DDHH...... G99 B99 I99 E99
4 4 0 CCC.GGBBB...AA..F..II.F.EDD.HHE..... G99 B99 I99 D99
4 4 0 CCC.GGBBB...AA..F.II..F.EDD.HHE..... G99 B99 I98 D99
4 4 0 CCC.GGBBB...AA..F.E.IIF.EDD.HH...... G99 B99 E99 D99
4 4 0 CCC.GGBBB...AA..F...IIF.EDDHH.E..... G99 B99 D99 H99
